Sample Name,Sample source type,Sample bulk lot ref,SOP Name,Operator name,Measurement date and time,Analysis date and time,Particle name,Particle refractive index,Particle absorption index,Dispersant name,Dispersant refractive index,Accessory name,Analysis model ,Start result channel size,Last result channel size,Result emulation,Obscuration,Residual,Concentration,Span,Result transform type,"D [4, 3] - Volume weighted mean",Uniformity,Specific surface area,"D [3, 2] - Surface weighted mean ",d (0.1),d (0.5),d (0.9),Result Between User Sizes (Sizes in um),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operator Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.011482,0.013183,0.015136,0.017378,0.019953,0.022909,0.026303,0.0302,0.034674,0.039811,0.045709,0.052481,0.060256,0.069183,0.079433,0.091201,0.104713,0.120226,0.138038,0.158489,0.18197,0.20893,0.239883,0.275423,0.316228,0.363078,0.416869,0.47863,0.549541,0.630957,0.724436,0.831764,0.954993,1.096478,1.258925,1.44544,1.659587,1.905461,2.187762,2.511886,2.884031,3.311311,3.801894,4.365158,5.011872,5.754399,6.606934,7.585776,8.709636,10,11.481536,13.182567,15.135612,17.378008,19.952623,22.908677,26.30268,30.199517,34.673685,39.810717,45.708819,52.480746,60.255959,69.183097,79.432823,91.201084,104.712855,120.226443,138.038426,158.489319,181.970086,208.929613,239.883292,275.42287,316.227766,363.078055,416.869383,478.630092,549.540874,630.957344,724.43596,831.763771,954.992586,1096.478196,1258.925412,1445.439771,1659.586907,1905.460718,2187.761624,2511.886432,2884.031503,3311.311215,3801.893963,4365.158322,5011.872336,5754.399373,6606.93448,7585.77575,8709.6359,10000,
SedStrat2026Group2,,,Silt SOP 3 times,Malvern_User,"Thursday, September 17, 2026 1:11:54 PM","Thursday, September 17, 2026 1:11:55 PM",silt,1.5,0.9,Water,1.33,Hydro 2000MU (A),General purpose,0.1,1000,Off,14.36,1.518,0.0135,7.607,Volume,77.201,2.54,0.877,6.841,2.806,26.243,202.429,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009607,0.086627,0.21017,0.309788,0.392333,0.45777,0.504513,0.541652,0.575933,0.617253,0.671426,0.742537,0.828225,0.924715,1.025405,1.12639,1.225362,1.321907,1.417646,1.514793,1.618986,1.734735,1.870985,2.031158,2.223172,2.441789,2.688579,2.945587,3.205625,3.444651,3.650981,3.805365,3.89924,3.924894,3.881666,3.773881,3.610324,3.403762,3.168901,2.919184,2.669991,2.428794,2.205343,1.997332,1.80813,1.631788,1.473393,1.330758,1.21201,1.114841,1.040246,0.982648,0.937328,0.896416,0.853025,0.799145,0.7342,0.646733,0.490363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SedStrat2026Group2,,,Silt SOP 3 times,Malvern_User,"Thursday, September 17, 2026 1:12:32 PM","Thursday, September 17, 2026 1:12:33 PM",silt,1.5,0.9,Water,1.33,Hydro 2000MU (A),General purpose,0.1,1000,Off,14.24,1.511,0.0135,7.793,Volume,78.222,2.57,0.871,6.888,2.834,26.283,207.657,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009409,0.084962,0.207399,0.306065,0.387824,0.452648,0.498978,0.535843,0.569946,0.61112,0.665138,0.736065,0.821553,0.917862,1.018427,1.119372,1.218404,1.315129,1.411194,1.508848,1.613793,1.730588,1.868255,2.030211,2.224394,2.44542,2.694782,2.954243,3.216426,3.456931,3.66378,3.817381,3.908881,3.930471,3.881642,3.767409,3.597573,3.386007,3.148198,2.897817,2.649925,2.411283,2.190652,1.984797,1.796323,1.619062,1.458629,1.314241,1.196325,1.10509,1.042875,1.003656,0.978839,0.954713,0.917428,0.854718,0.767695,0.650367,0.472995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SedStrat2026Group2,,,Silt SOP 3 times,Malvern_User,"Thursday, September 17, 2026 1:13:10 PM","Thursday, September 17, 2026 1:13:11 PM",silt,1.5,0.9,Water,1.33,Hydro 2000MU (A),General purpose,0.1,1000,Off,14.2,1.496,0.0136,7.793,Volume,79.842,2.59,0.859,6.982,2.882,26.727,211.18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009162,0.082834,0.203157,0.300089,0.380435,0.444191,0.489843,0.526296,0.560151,0.60109,0.654773,0.725188,0.809991,0.905485,1.005204,1.105353,1.203705,1.299894,1.395538,1.492817,1.597336,1.713583,1.850525,2.011582,2.2047,2.424597,2.672854,2.931398,3.192932,3.43311,3.639907,3.793648,3.885398,3.907305,3.858909,3.745404,3.576964,3.368097,3.135137,2.892658,2.656223,2.432616,2.229302,2.041365,1.868418,1.701744,1.544017,1.392591,1.257804,1.141442,1.051057,0.98645,0.945753,0.919234,0.89427,0.856286,0.79996,0.710689,0.539537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AVERAGE GROUP 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009392667,0.084807667,0.206908667,0.305314,0.386864,0.451536333,0.497778,0.534597,0.568676667,0.609821,0.663779,0.734596667,0.819923,0.916020667,1.016345333,1.117038333,1.215823667,1.31231,1.408126,1.505486,1.610038333,1.726302,1.863255,2.024317,2.217422,2.437268667,2.685405,2.943742667,3.204994333,3.444897333,3.651556,3.805464667,3.897839667,3.92089,3.874072333,3.762231333,3.594953667,3.385955333,3.150745333,2.903219667,2.658713,2.424231,2.208432333,2.007831333,1.824290333,1.650864667,1.492013,1.345863333,1.222046333,1.120457667,1.044726,0.990918,0.953973333,0.923454333,0.888241,0.836716333,0.767285,0.669263,0.500965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,Sample source type,Sample bulk lot ref,SOP Name,Operator name,Measurement date and time,Analysis date and time,Particle name,Particle refractive index,Particle absorption index,Dispersant name,Dispersant refractive index,Accessory name,Analysis model ,Start result channel size,Last result channel size,Result emulation,Obscuration,Residual,Concentration,Span,Result transform type,"D [4, 3] - Volume weighted mean",Uniformity,Specific surface area,"D [3, 2] - Surface weighted mean ",d (0.1),d (0.5),d (0.9),Result Between User Sizes (Sizes in um),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operator Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.011482,0.013183,0.015136,0.017378,0.019953,0.022909,0.026303,0.0302,0.034674,0.039811,0.045709,0.052481,0.060256,0.069183,0.079433,0.091201,0.104713,0.120226,0.138038,0.158489,0.18197,0.20893,0.239883,0.275423,0.316228,0.363078,0.416869,0.47863,0.549541,0.630957,0.724436,0.831764,0.954993,1.096478,1.258925,1.44544,1.659587,1.905461,2.187762,2.511886,2.884031,3.311311,3.801894,4.365158,5.011872,5.754399,6.606934,7.585776,8.709636,10,11.481536,13.182567,15.135612,17.378008,19.952623,22.908677,26.30268,30.199517,34.673685,39.810717,45.708819,52.480746,60.255959,69.183097,79.432823,91.201084,104.712855,120.226443,138.038426,158.489319,181.970086,208.929613,239.883292,275.42287,316.227766,363.078055,416.869383,478.630092,549.540874,630.957344,724.43596,831.763771,954.992586,1096.478196,1258.925412,1445.439771,1659.586907,1905.460718,2187.761624,2511.886432,2884.031503,3311.311215,3801.893963,4365.158322,5011.872336,5754.399373,6606.93448,7585.77575,8709.6359,10000,
SedStrat2026Group3,,,Dirt SOP 3 times,Malvern_User,"Thursday, September 17, 2026 1:24:55 PM","Thursday, September 17, 2026 1:24:56 PM",Dirt,1.56,0.1,Water,1.33,Hydro 2000MU (A),General purpose,0.1,1000,Off,10.22,0.96,0.0177,3.096,Volume,84.245,1.05,0.519,11.551,5.465,57.787,184.384,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055088,0.182694,0.30917,0.383574,0.429874,0.440354,0.431121,0.41733,0.415669,0.436657,0.481831,0.544332,0.616118,0.691611,0.767444,0.84184,0.914084,0.98617,1.059237,1.137282,1.221116,1.314472,1.415422,1.526632,1.643895,1.770993,1.907391,2.062957,2.24473,2.468368,2.742771,3.078473,3.472081,3.911949,4.370037,4.804009,5.165769,5.40129,5.470389,5.348223,5.032174,4.555092,3.952739,3.300469,2.638909,2.038236,1.515433,1.101709,0.789126,0.572874,0.430594,0.340762,0.281023,0.235349,0.195081,0.137981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SedStrat2026Group3,,,Dirt SOP 3 times,Malvern_User,"Thursday, September 17, 2026 1:25:32 PM","Thursday, September 17, 2026 1:25:34 PM",Dirt,1.56,0.1,Water,1.33,Hydro 2000MU (A),General purpose,0.1,1000,Off,10.09,0.952,0.0178,3.192,Volume,87.556,1.1,0.504,11.9,5.611,58.06,190.955,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166875,0.306539,0.371946,0.420582,0.430027,0.421578,0.408351,0.407314,0.428647,0.473905,0.536323,0.608005,0.68348,0.75945,0.834199,0.907045,0.979994,1.054149,1.133472,1.218673,1.313422,1.415657,1.528003,1.64618,1.77403,1.911105,2.067453,2.250246,2.475166,2.750846,3.08724,3.480051,3.916568,4.367793,4.790944,5.138243,5.357097,5.409206,5.272482,4.946705,4.467295,3.871729,3.235703,2.599173,2.028505,1.537219,1.151613,0.86155,0.660577,0.526572,0.438921,0.375949,0.32497,0.272465,0.198766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
